reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app_id,sentimen,Cleaning,HapusEmoji,3/Lebih,CaseFolding,Tokenizing,Formalisasi,tokens_akhir
273272c0-0c5e-43bc-b44f-44f1c3e0775c,Edi Buyot 201,https://play-lh.googleusercontent.com/a-/ALV-UjVv5T4SrZSXJBrJpEt_p7QwKks2nE1_3GYq212xWNRsLN0Hoag,jadi lemot aplikasinya sering eror juga beda sama dulu,1,0,3.14.2,2025-08-28 01:55:39,,,3.14.2,com.stockbit.android,Negatif,jadi lemot aplikasinya sering eror juga beda sama dulu,jadi lemot aplikasinya sering eror juga beda sama dulu,jadi lemot aplikasinya sering eror juga beda sama dulu,jadi lemot aplikasinya sering eror juga beda sama dulu,"['jadi', 'lemot', 'aplikasinya', 'sering', 'eror', 'juga', 'beda', 'sama', 'dulu']","['jadi', 'lemot', 'aplikasinya', 'sering', 'eror', 'juga', 'beda', 'sama', 'dulu']","['lot', 'aplikasi', 'sering', 'eror', 'beda', 'sama', 'dulu']"
9135fc35-98ed-4e64-ac25-86a4e28fb0d1,Wahab Kintil,https://play-lh.googleusercontent.com/a/ACg8ocJqGnavmg3Dh4GckjYukER4v0P36cLw7IICwhNK6AN6uQ8cmw=mo,apk yang keren,5,0,2.76.6,2025-08-28 01:47:01,,,2.76.6,ajaib.co.id,Positif,apk yang keren,apk yang keren,apk yang keren,apk yang keren,"['apk', 'yang', 'keren']","['apk', 'yang', 'keren']","['apk', 'keren']"
5ad9b49d-83cf-4028-b0a9-cda9e2e8d684,jeon shrl,https://play-lh.googleusercontent.com/a-/ALV-UjVEF8aPC8Mccz3v3KcVE1eoXS5qym6N8cx69eR-L6ajGvkGGfQ,"Aplikasi bagus buat pemula yg baru coba2 buat investasi saham, fiturnya lengkap praktis bgt.. Disini jg bisa transaksi investasi reksadana & obligasi 😁 benar-benar aplikasi yg memudahkan 🥰",5,0,,2025-08-28 01:32:42,,,,ajaib.co.id,Positif,"Aplikasi bagus buat pemula yg baru coba2 buat investasi saham, fiturnya lengkap praktis bgt.. Disini jg bisa transaksi investasi reksadana & obligasi 😁 benar-benar aplikasi yg memudahkan 🥰","Aplikasi bagus buat pemula yg baru coba2 buat investasi saham, fiturnya lengkap praktis bgt.. Disini jg bisa transaksi investasi reksadana & obligasi  benar-benar aplikasi yg memudahkan ","Aplikasi bagus buat pemula yg baru coba2 buat investasi saham, fiturnya lengkap praktis bgt.. Disini jg bisa transaksi investasi reksadana & obligasi  benar-benar aplikasi yg memudahkan ","aplikasi bagus buat pemula yg baru coba2 buat investasi saham, fiturnya lengkap praktis bgt.. disini jg bisa transaksi investasi reksadana & obligasi  benar-benar aplikasi yg memudahkan ","['aplikasi', 'bagus', 'buat', 'pemula', 'yg', 'baru', 'coba2', 'buat', 'investasi', 'saham', ',', 'fiturnya', 'lengkap', 'praktis', 'bgt', '..', 'disini', 'jg', 'bisa', 'transaksi', 'investasi', 'reksadana', '&', 'obligasi', 'benar-benar', 'aplikasi', 'yg', 'memudahkan']","['aplikasi', 'bagus', 'buat', 'pemula', 'yang', 'baru', 'coba2', 'buat', 'investasi', 'saham', ',', 'fiturnya', 'lengkap', 'praktis', 'banget', '..', 'disini', 'juga', 'bisa', 'transaksi', 'investasi', 'reksadana', '&', 'obligasi', 'benar-benar', 'aplikasi', 'yang', 'memudahkan']","['aplikasi', 'bagus', 'buat', 'mula', 'baru', 'coba2', 'buat', 'investasi', 'saham', '', 'fiturnya', 'lengkap', 'praktis', '', 'sini', 'transaksi', 'investasi', 'reksadana', '', 'obligasi', 'benar', 'aplikasi', 'mudah']"
9f754f19-b7e7-4443-9f01-3da0c8c842d7,Ibnu Fajar,https://play-lh.googleusercontent.com/a/ACg8ocJEDwehV6_O58JphO1Y5t3yddGGgtDNjVk9gesyH7B0r6ZGxA=mo,ini kpn sistem kirim koin cuman ada di btc aja di ltc doge dan yg lain dihilangkan jadi gk efisien,2,0,6.7.7,2025-08-28 01:16:22,"Hai Sobat Cuan, saat ini kami terus berupaya untuk mengembangkan fitur transfer & terima kripto agar bisa didukung pada semua aset, dimana untuk LTC dan DOGE saat ini sudah tersedia dengan fitur ini ya, bagi aset yang belum didukung pada fitur transfer, mohon kesediaannya menunggu terlebih dahulu & lakukan pengecekan secara berkala pada aplikasi -A",2025-08-28 07:01:38,6.7.7,com.EmasDigi,Negatif,ini kpn sistem kirim koin cuman ada di btc aja di ltc doge dan yg lain dihilangkan jadi gk efisien,ini kpn sistem kirim koin cuman ada di btc aja di ltc doge dan yg lain dihilangkan jadi gk efisien,ini kpn sistem kirim koin cuman ada di btc aja di ltc doge dan yg lain dihilangkan jadi gk efisien,ini kpn sistem kirim koin cuman ada di btc aja di ltc doge dan yg lain dihilangkan jadi gk efisien,"['ini', 'kpn', 'sistem', 'kirim', 'koin', 'cuman', 'ada', 'di', 'btc', 'aja', 'di', 'ltc', 'doge', 'dan', 'yg', 'lain', 'dihilangkan', 'jadi', 'gk', 'efisien']","['ini', 'kapan', 'sistem', 'kirim', 'koin', 'cuman', 'ada', 'di', 'btc', 'saja', 'di', 'ltc', 'doge', 'dan', 'yang', 'lain', 'dihilangkan', 'jadi', 'enggak', 'efisien']","['kapan', 'sistem', 'kirim', 'koin', 'cuman', 'btc', 'ltc', 'doge', 'hilang', 'efisien']"
9b1c9489-9512-4eb3-87af-29cf796af392,Steven Sugiono,https://play-lh.googleusercontent.com/a/ACg8ocLi2CJYRxxcJbn7JeUOqjAXeIYxKjh43ewQ7nFYpxM6e1S8HQ=mo,bagus sekali,5,0,3.1.56,2025-08-28 01:11:27,"Terima kasih atas supportnya. OCTO Mobile selalu berupaya untuk meningkatkan pengalaman bertransaksi agar semakin mudah untuk pengguna. Terus gunakan OCTO Mobile ya.
",2025-08-28 01:14:57,3.1.56,id.co.cimbniaga.mobile.android,Positif,bagus sekali,bagus sekali,bagus sekali,bagus sekali,"['bagus', 'sekali']","['bagus', 'sekali']","['bagus', 'sekali']"
d1ea1ad2-7dfc-45c2-adc1-bbb2726f4486,HendraRiansyah Hemo,https://play-lh.googleusercontent.com/a/ACg8ocI83aQrl10mqSIXuHRuJsBfbG3OIhv-yKc0So5xShB8-_dbQQ=mo,Klo soal beli saham apk ini juarany,5,0,,2025-08-28 00:48:13,,,,ajaib.co.id,Positif,Klo soal beli saham apk ini juarany,Klo soal beli saham apk ini juarany,Klo soal beli saham apk ini juarany,klo soal beli saham apk ini juarany,"['klo', 'soal', 'beli', 'saham', 'apk', 'ini', 'juarany']","['kalo', 'soal', 'beli', 'saham', 'apk', 'ini', 'juarany']","['soal', 'beli', 'saham', 'apk', 'juarany']"
b911ad23-eb0b-4fbf-8c19-7bceec09dbf7,RK Entertainment,https://play-lh.googleusercontent.com/a-/ALV-UjXitBL2vIEtM0WuX0yXsGJV8QYX6LAlf2U4WaE5LoetBRQJRtpF,kenapa aplikasinya susah dibuka yah? loading terus... saya jadi ga bisa transaksi dan cek portofolio saya...,5,0,6.7.7,2025-08-28 00:27:28,"Hai Sobat Cuan, mohon maaf atas ketidaknyamanan yang dialami 🙏🏻 untuk penggunaan aplikasi yang lebih optimal, mohon pastikan aplikasi Pluang sudah terupdate ke versi terbaru & terinstal pada perangkat yang kompatibel dengan versi OS terkini. Agar kendalanya dapat kami tangani lebih lanjut, mohon hubungi ke email tanya@pluang.com ya -A",2025-08-28 06:52:11,6.7.7,com.EmasDigi,Positif,kenapa aplikasinya susah dibuka yah? loading terus... saya jadi ga bisa transaksi dan cek portofolio saya...,kenapa aplikasinya susah dibuka yah? loading terus... saya jadi ga bisa transaksi dan cek portofolio saya...,kenapa aplikasinya susah dibuka yah? loading terus. saya jadi ga bisa transaksi dan cek portofolio saya.,kenapa aplikasinya susah dibuka yah? loading terus. saya jadi ga bisa transaksi dan cek portofolio saya.,"['kenapa', 'aplikasinya', 'susah', 'dibuka', 'yah', '?', 'loading', 'terus', '.', 'saya', 'jadi', 'ga', 'bisa', 'transaksi', 'dan', 'cek', 'portofolio', 'saya', '.']","['kenapa', 'aplikasinya', 'susah', 'dibuka', 'ya', '?', 'loading', 'terus', '.', 'saya', 'jadi', 'enggak', 'bisa', 'transaksi', 'dan', 'cek', 'portofolio', 'saya', '.']","['aplikasi', 'susah', 'buka', '', 'loading', '', 'transaksi', 'cek', 'portofolio', '']"
0cd2e47f-d242-49c7-b68c-24c74c96ad60,Novi Amelia,https://play-lh.googleusercontent.com/a-/ALV-UjWDmNO5KQV3xtWmfc7wjrUOtc4CbqqS5ziD6be2mSXgglFckbY,"Aku pakai Ajaib Saham buat investasi saham jangka panjang. Pilihan sahamnya lengkap, dari BBCA, ANTM, UNVR sampai saham baru seperti GOTO juga ada. Sangat membantu buat belajar analisis..",5,0,,2025-08-28 00:27:10,,,,ajaib.co.id,Positif,"Aku pakai Ajaib Saham buat investasi saham jangka panjang. Pilihan sahamnya lengkap, dari BBCA, ANTM, UNVR sampai saham baru seperti GOTO juga ada. Sangat membantu buat belajar analisis..","Aku pakai Ajaib Saham buat investasi saham jangka panjang. Pilihan sahamnya lengkap, dari BBCA, ANTM, UNVR sampai saham baru seperti GOTO juga ada. Sangat membantu buat belajar analisis..","Aku pakai Ajaib Saham buat investasi saham jangka panjang. Pilihan sahamnya lengkap, dari BBCA, ANTM, UNVR sampai saham baru seperti GOTO juga ada. Sangat membantu buat belajar analisis..","aku pakai ajaib saham buat investasi saham jangka panjang. pilihan sahamnya lengkap, dari bbca, antm, unvr sampai saham baru seperti goto juga ada. sangat membantu buat belajar analisis..","['aku', 'pakai', 'ajaib', 'saham', 'buat', 'investasi', 'saham', 'jangka', 'panjang', '.', 'pilihan', 'sahamnya', 'lengkap', ',', 'dari', 'bbca', ',', 'antm', ',', 'unvr', 'sampai', 'saham', 'baru', 'seperti', 'goto', 'juga', 'ada', '.', 'sangat', 'membantu', 'buat', 'belajar', 'analisis', '..']","['aku', 'pakai', 'ajaib', 'saham', 'buat', 'investasi', 'saham', 'jangka', 'panjang', '.', 'pilihan', 'sahamnya', 'lengkap', ',', 'dari', 'bbca', ',', 'antm', ',', 'unvr', 'sampai', 'saham', 'baru', 'seperti', 'goto', 'juga', 'ada', '.', 'sangat', 'membantu', 'buat', 'belajar', 'analisis', '..']","['aku', 'pakai', 'ajaib', 'saham', 'buat', 'investasi', 'saham', 'jangka', 'panjang', '', 'pilih', 'saham', 'lengkap', '', 'bbca', '', 'antm', '', 'unvr', 'saham', 'baru', 'goto', '', 'bantu', 'buat', 'ajar', 'analisis', '']"
cac144c5-da5a-4efd-8e2e-484de82924e6,Agus Suparjo19,https://play-lh.googleusercontent.com/a/ACg8ocLRZqhB_Z0A1vjn7Vj0Gd4jllsDvzoGj8z4o54uqdHzC-q0og=mo,Baru nemu apk sebagus ini begitu komplit dan fitur ya bagus . Sangat cocok belajar investasi saham bahkan saham populer Amerika jg ada berbagai aset uang kripto lengkap dan pasti aman.,5,0,,2025-08-27 23:47:54,,,,ajaib.co.id,Positif,Baru nemu apk sebagus ini begitu komplit dan fitur ya bagus . Sangat cocok belajar investasi saham bahkan saham populer Amerika jg ada berbagai aset uang kripto lengkap dan pasti aman.,Baru nemu apk sebagus ini begitu komplit dan fitur ya bagus . Sangat cocok belajar investasi saham bahkan saham populer Amerika jg ada berbagai aset uang kripto lengkap dan pasti aman.,Baru nemu apk sebagus ini begitu komplit dan fitur ya bagus . Sangat cocok belajar investasi saham bahkan saham populer Amerika jg ada berbagai aset uang kripto lengkap dan pasti aman.,baru nemu apk sebagus ini begitu komplit dan fitur ya bagus . sangat cocok belajar investasi saham bahkan saham populer amerika jg ada berbagai aset uang kripto lengkap dan pasti aman.,"['baru', 'nemu', 'apk', 'sebagus', 'ini', 'begitu', 'komplit', 'dan', 'fitur', 'ya', 'bagus', '.', 'sangat', 'cocok', 'belajar', 'investasi', 'saham', 'bahkan', 'saham', 'populer', 'amerika', 'jg', 'ada', 'berbagai', 'aset', 'uang', 'kripto', 'lengkap', 'dan', 'pasti', 'aman', '.']","['baru', 'nemu', 'apk', 'sebagus', 'ini', 'begitu', 'komplit', 'dan', 'fitur', 'ya', 'bagus', '.', 'sangat', 'cocok', 'belajar', 'investasi', 'saham', 'bahkan', 'saham', 'populer', 'amerika', 'juga', 'ada', 'berbagai', 'aset', 'uang', 'kripto', 'lengkap', 'dan', 'pasti', 'aman', '.']","['baru', 'nemu', 'apk', 'bagus', 'komplit', 'fitur', 'bagus', '', 'cocok', 'ajar', 'investasi', 'saham', 'bahkan', 'saham', 'populer', 'amerika', 'bagai', 'aset', 'uang', 'kripto', 'lengkap', 'aman', '']"
09ed599e-a852-4719-a8b2-8c6a383657cc,Muhammad Rafa Haziq,https://play-lh.googleusercontent.com/a/ACg8ocIbs9RDFOX0U4NKQSLHXk8uHSjp2pmRtlEepFVsSxvrVjt6PQ=mo,apk top pokoknya is the best bangettt,5,0,3.1.58,2025-08-27 22:57:06,"Terima kasih atas supportnya. OCTO Mobile selalu berupaya untuk meningkatkan pengalaman bertransaksi agar semakin mudah untuk pengguna. Terus gunakan OCTO Mobile ya.
",2025-08-27 23:15:02,3.1.58,id.co.cimbniaga.mobile.android,Positif,apk top pokoknya is the best bangettt,apk top pokoknya is the best bangettt,apk top pokoknya is the best banget,apk top pokoknya is the best banget,"['apk', 'top', 'pokoknya', 'is', 'the', 'best', 'banget']","['apk', 'top', 'pokoknya', 'is', 'the', 'best', 'banget']","['apk', 'top', 'pokok', 'is', 'the', 'best']"
